Offencecategory,Offencetype,Violation,Gender,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Violent Criminal Code Violation,Total firearms,Using firearm in commission of offence,Male,2,2,2,3,3,0,2,3,1,1,1
Violent Criminal Code Violation,Total firearms,Pointing a firearm,Male,3,8,3,0,3,3,3,2,4,3,1
Violent Criminal Code Violation,Total robbery,Robbery,Male,261,263,299,247,261,197,163,142,129,106,101
Violent Criminal Code Violation,Total forcible confinement or kidnapping,Forcible confinement or kidnapping,Male,15,9,0,0,0,0,0,0,0,0,0
Violent Criminal Code Violation,Total forcible confinement or kidnapping,Kidnapping,Male,0,0,5,3,2,1,1,0,0,1,0
Violent Criminal Code Violation,Total forcible confinement or kidnapping,Forcible confinement,Male,0,0,9,8,4,7,7,2,2,9,6
Violent Criminal Code Violation,Extortion,Extortion,Male,16,11,8,9,9,4,8,11,4,10,5
Violent Criminal Code Violation,Criminal harassment,Criminal harassment,Male,7,11,8,11,7,18,6,12,11,9,11
Violent Criminal Code Violation,Uttering threats,Uttering threats,Male,193,163,151,143,113,106,97,92,96,121,98
Violent Criminal Code Violation,Indecent/Harassing communications,Indecent/Harassing communications,Male,3,1,1,2,0,0,0,1,0,0,0
Violent Criminal Code Violation,Total other violent violations,Incest,Male,2,0,3,2,2,3,3,3,5,2,2
Violent Criminal Code Violation,Total other violent violations,Anal intercourse,Male,1,0,1,1,0,1,0,0,0,0,0
Violent Criminal Code Violation,Total other violent violations,"Bestiality, commit or compel person",Male,0,0,0,0,0,0,0,1,0,0,0
Violent Criminal Code Violation,Total other violent violations,Voyeurism,Male,0,0,1,3,3,3,0,0,1,4,1
Violent Criminal Code Violation,Total other violent violations,Nonconsensual distribution of intimate images,Male,0,0,0,0,0,0,0,0,1,3,0
Violent Criminal Code Violation,Total other violent violations,Hostage-taking,Male,0,0,1,0,0,0,0,0,0,0,0
Violent Criminal Code Violation,Total other violent violations,Trafficking in persons,Male,0,0,0,0,0,0,0,0,0,0,1
Violent Criminal Code Violation,Total other violent violations,Intimidation of a justice system participant or a journalist,Male,0,0,0,0,6,3,2,1,0,1,1
Violent Criminal Code Violation,Total other violent violations,"Arson, disregard for human life",Male,1,1,4,3,1,1,1,0,3,2,0
Violent Criminal Code Violation,Total other violent violations,Other violent violations,Male,0,1,0,0,0,0,0,0,1,1,0
Total Property Crime Violations,Total breaking and entering,Breaking and entering,Male,374,407,300,278,268,240,154,176,138,105,89
Total Property Crime Violations,Total breaking and entering,Breaking and entering to steal a firearm,Male,0,3,0,0,3,0,0,0,0,0,2
Total Property Crime Violations,Total possession of stolen property,Total possession of stolen property,Male,164,168,155,123,77,56,51,59,36,38,26
Total Property Crime Violations,Total trafficking in stolen property,Total trafficking in stolen property,Male,0,0,0,0,1,2,2,1,0,0,0
Total Property Crime Violations,Total theft of motor vehicle,Total Theft of motor vehicle,Male,109,125,68,73,69,58,57,70,51,45,48
Total Property Crime Violations,Total theft over $5000 (non-motor vehicle),"Theft over $5,000",Male,11,8,2,11,4,5,0,1,0,3,1
Total Property Crime Violations,Total theft over $5000 (non-motor vehicle),"Theft over $5,000 from a motor vehicle",Male,0,2,1,1,0,0,0,2,0,0,1
Total Property Crime Violations,Total theft over $5000 (non-motor vehicle),"Shoplifting over $5,000",Male,1,1,0,3,0,0,0,0,0,1,0
Total Property Crime Violations,Total theft under $5000 (non-motor vehicle),"Theft $5,000 or under",Male,104,110,96,80,95,60,61,55,29,35,21
Total Property Crime Violations,Total theft under $5000 (non-motor vehicle),"Theft $5,000 or under from a motor vehicle",Male,30,40,48,54,59,35,27,29,18,16,9
Total Property Crime Violations,Total theft under $5000 (non-motor vehicle),"Shoplifting $5,000 or under",Male,256,287,251,188,166,141,88,100,68,64,88
Total Property Crime Violations,Fraud,Fraud,Male,39,57,40,22,21,13,17,13,8,16,11
Total Property Crime Violations,Identity theft,Identity Theft,Male,0,0,0,0,0,2,0,1,0,1,0
Total Property Crime Violations,Identify fraud,Identity Fraud,Male,0,0,6,3,2,3,1,7,3,3,2
Total Property Crime Violations,Total mischief,Mischief,Male,438,449,325,254,254,203,164,109,118,98,137
Total Property Crime Violations,Arson,Arson,Male,37,53,45,20,30,36,14,27,23,15,1
Total Other Criminal Code violations,Counterfeiting,Counterfeiting,Male,2,4,17,4,4,10,7,1,1,5,3
Total Other Criminal Code violations,Total weapons violations,"Offensive weapons, explosives",Male,1,1,1,0,1,0,5,0,0,2,0
Total Other Criminal Code violations,Total weapons violations,Weapons trafficking,Male,0,0,0,0,2,1,0,0,0,0,0
Total Other Criminal Code violations,Total weapons violations,Weapons possession contrary to order,Male,2,2,6,1,1,2,2,2,1,0,2
Total Other Criminal Code violations,Total weapons violations,Possession of weapons,Male,138,138,125,105,95,96,57,46,42,46,59
Total Other Criminal Code violations,Total weapons violations,Unsafe storage of firearms,Male,0,0,1,0,0,3,1,0,2,0,1
Total Other Criminal Code violations,"Possession of, or accessing child pornography","Possession of, or accessing child pornography",Male,4,4,3,4,0,6,2,14,5,2,2
Total Other Criminal Code violations,"Making, or distribution of child pornography","Making, or distribution of child pornography",Male,0,0,0,0,0,0,0,1,4,5,8
Total Other Criminal Code violations,Disturb the peace,Disturb the peace,Male,137,159,196,129,88,55,33,24,27,31,21
Total Other Criminal Code violations,Total administration of justice violations,Fail to comply with order,Male,505,559,531,440,409,325,351,380,323,300,303
Total Other Criminal Code violations,Total administration of justice violations,Escape or helps to escape from lawful custody,Male,5,5,0,2,4,1,2,2,2,1,0
Total Other Criminal Code violations,Total administration of justice violations,Prisoner unlawfully at large,Male,1,0,0,1,0,0,0,0,0,0,0
Total Other Criminal Code violations,Total administration of justice violations,Fail to appear,Male,7,10,12,7,17,10,8,3,5,6,3
Total Other Criminal Code violations,Total administration of justice violations,Breach of probation,Male,22,18,20,16,10,18,9,13,11,8,9
Total Other Criminal Code violations,Total administration of justice violations,Other violations against the administration of law and justice (Part IV Criminal Code),Male,16,8,9,22,7,9,5,9,4,4,6
Total Other Criminal Code violations,Total other other violations,Indecent acts,Male,7,4,7,4,4,2,8,2,4,2,0
Total Other Criminal Code violations,Total other other violations,Obstruct public or peace officer,Male,58,45,63,42,27,28,44,28,26,24,19
Total Other Criminal Code violations,Total other other violations,Trespass at night,Male,10,10,3,2,7,5,2,5,2,3,2
Total Other Criminal Code violations,Total other other violations,Utter threats to property or animal,Male,6,5,2,4,2,4,1,2,5,1,4
Total Other Criminal Code violations,Total other other violations,Offences against public order (Part II Criminal Code),Male,1,1,0,6,19,5,0,1,0,0,0
Total Other Criminal Code violations,Total other other violations,Firearms and other offensive weapons (Part III Criminal Code),Male,1,0,2,1,2,1,1,0,0,1,1
Total Other Criminal Code violations,Total other other violations,"Sexual offences, public morals and disorderly conduct (Part V Criminal Code)",Male,2,0,0,0,0,0,0,0,1,0,0
Total Other Criminal Code violations,Total other other violations,Offences against rights of property (Part IX Criminal Code),Male,16,16,9,16,12,8,12,9,5,6,2
